"CMCname	Garbage",Symbol
royal-kingdom-coin,RKC
posw-coin,POSW
smartbillions,SMART
mazacoin,MZC
dinastycoin,DCY
denarius-dnr,DNR
fujicoin,FJC
digitalprice,DP
karbowanec,KRB
terracoin,TRC
bonpay,BON
creativecoin,CREA
worldcoin,WDC
audiocoin,ADC
masternodecoin,MTNC
chaincoin,CHC
encryptotel,ETT
sexcoin,SXC
dnotes,NOTE
syndicate,SYNX
bitcloud,BTDX
novacoin,NVC
bitcoin-plus,XBC
zeitcoin,ZEIT
hush,HUSH
monacocoin,XMCC
bitmark,BTM
mothership,MSP
clams,CLAM
geocoin,GEO
heat-ledger,HEAT
okcash,OK
bitcore,BTX
nolimitcoin,NLC2
potcoin,POT
synereo,AMP
dimecoin,DIME
myriad,XMY
sibcoin,SIB
mintcoin,MINT
bitcoin-silver,BTCS
bestchain,BEST
namocoin,NAMO
sharkcoin,SAK
magnetcoin,MAGN
pluscoin,PLC
francs,FRN
skeincoin,SKC
topcoin,TOP
granitecoin,GRN
compcoin,CMP
ur,UR
wearesatoshi,WSX
animecoin,ANI
win-coin,WC
ox-fina,OX
magiccoin,MAGE
bitcedi,BXC
sakuracoin,SKR
elacoin,ELC
creatio,XCRE
cybercoin,CC
ecobit,ECOB
mojocoin,MOJO
swing,SWING
arcade-token,ARC
shacoin,SHA
boolberry,BBR
rubycoin,RBY
qwark,QWARK
fonziecoin,FONZ
ixcoin,IXC
scorecoin,SCORE
songcoin,SONG
gaia,GAIA
quatloo,QTL
gxshares,GXS
evotion,EVO
visio,VISIO
sphre-air,XID
bitbar,BTB
beavercoin,BVC
tigercoin,TGC
piecoin,PIE
deuscoin,DEUS
enigma-project,ENG
musiconomi,MCI
mustangcoin,MST
independent-money-system,IMS
dashcoin,DSH
jetcoin,JET
fazzcoin,FAZZ
electroneum,ETN
dibcoin,DIBC
coin,CNO
truckcoin,TRK
rchain,RHOC
pillar,PLR
terranova,TER
halcyon,HAL
beatcoin,XBTS
apx,APX
gaycoin,GAY
ratecoin,XRA
kittehcoin,MEOW
reddcoin,RDD
cryptcoin,CRYPT
nyancoin,NYAN
embercoin,EMB
casinocoin,CSC
infinitecoin,IFC
minex,MINEX
irishcoin,IRL
rabbitcoin,RBBT
everus,EVR
edrcoin,EDRC
encryptotel-eth,ETT
royalties,XRY
homeblockcoin,HBC
bongger,BGR
bitcoin-diamond,BCD
lightning-bitcoin,LBTC
kubera-coin,KBR
strikebitclub,SBC
adcoin,ACC
plexcoin,PLX
iquant,IQT
corion,COR
fireflycoin,FFC
rcoin,RCN
lepen,LEPEN
alphabitcoinfund,ABC
international-diamond,XID
batcoin,BAT
santa-coin,STC
nubits,USNBT
altcoin-alt,ALT
fantomcoin,FCN
titcoin,TIT
orbitcoin,ORB
lottocoin,LOT
rimbit,RBT
iticoin,ITI
goldreserve,XGR
prototanium,PR
berncash,BERN
kronecoin,KRONE
darsek,KED
securecoin,SRC
icoin,ICN
freicoin,FRC
ecocoin,ECO
spots,SPT
compucoin,CPN
namecoin,NMC
decent-bet,DBET
wild-crypto,WILD
primecoin,XPM
1337coin,1337
dcorp,DRP
bitdeal,BDL
starcredits,STRC
etheriya,RIYA
bitstar,BITS
aurumcoin,AU
cannacoin,CCN
deutsche-emark,DEM
colossuscoin-v2,CV2
evil-coin,EVIL
marscoin,MARS
unicoin,UNIC
bolivarcoin,BOLI
litebar,LTB
mineum,MNM
postcoin,POST
sativacoin,STV
blazecoin,BLZ
bumbacoin,BUMBA
parallelcoin,DUO
money,$$$
aquariuscoin,ARCO
jin-coin,JIN
tajcoin,TAJ
nevacoin,NEVA
300-token,300
megacoin,MEC
asiacoin,AC
